u-1,i-1,u-2,i-2,u-3,i-3,u-4,i-4,U-1,I-1,U-2,I-2,U-3,I-3,U-4,I-4
0,0.17,0,0.18,0,0,0,0.17,0,0.19,0,0.18,0,0.2,0,0.16
0,0.17,0,0.18,0,0,0,0.17,0,0.19,0,0.18,0,0.2,0,0.17
0,0.17,0,0.18,0,0.18,0,0.17,0,0.19,0,0.18,0,0.2,0,0.18
0,0.17,0,0.18,0,0.18,0,0.18,0,0.19,0,0.18,0,0.2,0,0.2
0,0.17,0,0.18,0,0.18,0,0.18,0,0,0,0.18,0,0.2,0,0.23
0,0.17,0,0.18,0,0.18,0,0.18,0,0.19,0,0.18,0,0.19,0,0.23
0,0.17,0,0.18,0,0.18,0,0.18,0,0.19,0,0.18,0,0.19,0,0.21
0,0.17,0,0.18,0,0.18,0,0.19,0,0.19,0,0.18,0,0.19,0,0.2
0,0.17,0,0.18,0,0.18,0,0.2,0,0.19,0,0.18,0,0.19,0,0.19
0,0.17,0,0.18,0,0.18,0,0.2,0,0,0,0.18,0,0.19,0,0.18
0,0.17,0,0.18,0,0.18,0,0.2,0,0.19,0,0.18,0,0.19,0,0.19
0.9,0.17,0,0.18,0,0.18,0,0.19,0,0.19,0,0.19,0,0.19,0,0.18
3.3,0.27,0,0.18,0,0.18,0,0.19,0,0.19,0.3,0.19,0,0.19,0,0.18
5.7,0.22,0,0.18,0,0.18,0,0.19,0,0.19,2.7,0.28,0,0.19,0,0.18
8.1,0.23,0,0.18,0,0.18,0,0.19,0,0.19,5.1,0.24,0,0.19,0,0.18
10.5,0.34,0.9,0.18,0,0.18,0,0.19,0,0.19,7.5,0.24,0,0.19,0,0.19
12.9,2.51,3.3,0.3,0,0.18,0,0.19,0,0.19,9.9,0.25,0,0.19,0,0.19
15.3,3.75,5.6,0.24,0,0.18,0.8,0.19,0,0.19,12.3,1.14,0,0.2,0,0.19
17.7,4.22,8,0.25,2,0.28,3.2,0.52,0.9,0.19,14.6,2.85,0,0.2,0,0.19
20.1,3.18,10.4,1.72,4.4,0.23,5.6,0.26,3.5,0.19,17.1,3.36,0,0.2,0,0.19
22.4,0.75,12.8,3.8,6.8,0.25,8.1,1.86,5.7,0.25,19.5,3.39,2.4,0.31,0,0.19
24.8,-0.04,15.2,4.4,9.2,1.94,10.4,4.31,8.3,0.25,21.8,1.53,4.8,0.25,0.2,0.19
27.2,-0.09,17.6,4.82,11.6,4.07,12.8,5.11,10.5,0.53,24.2,0.15,7.2,0.25,2.6,0.34
29.6,1.47,19.8,2.97,14,4.67,15.2,5.66,12.9,2.7,26.6,-0.06,9.6,0.26,5.1,0.25
32,4.17,22.4,0.54,16.2,5.22,17.4,5.98,15.3,3.57,28.8,0.33,11.9,0.41,7.4,0.25
34.2,5.77,24.6,-0.05,18.6,4.4,19.8,3.38,17.7,3.95,31.4,2.46,14.3,2.15,9.8,0.26
36.6,6.2,27,0.72,21,1.39,22.2,0.67,20,2.59,33.6,4.06,16.7,2.87,12,0.55
39,4.16,29.3,3.93,23.4,0.05,24.6,1.33,22.5,0.52,36,4.98,19.1,3.18,14.4,1.45
41.4,1.39,31.7,6.01,25.8,1.08,26.9,5.13,24.8,-0.03,38.3,4.16,21.5,2.23,16.8,1.77
43.8,-0.09,34.2,7.44,28.2,4.6,29.3,7.71,27.2,-0.04,40.7,2.12,23.9,0.53,19.2,1.89
46.2,-0.08,36.5,7.1,30.6,6.77,31.7,9.3,29.6,1.8,43.2,0.24,26.1,0.03,21.6,1.01
48.5,0.71,38.9,4.38,32.9,8.26,34.1,10.09,32,4.1,45.6,-0.09,28.5,-0.01,24,0.23
50.9,3,41.3,1.36,35.3,8.77,36.5,9.31,34.4,5.46,47.9,0.14,30.9,1.24,26.4,0.06
53.3,5.36,43.7,0.09,37.7,6.34,38.7,5.96,36.6,5.49,50.3,1.31,33.3,2.99,28.7,0.17
55.7,6.18,46.1,1.06,40.1,3.09,41.3,3.83,39,3.42,52.7,3.16,35.6,4,31.1,1.18
57.9,5.3,48.3,3.42,42.5,1.37,43.5,4.82,41.4,0.95,54.9,4.34,38.1,4.11,33.5,2.11
60.3,3.08,50.7,6.08,44.7,2.69,45.9,7.13,43.8,-0.09,57.3,4.16,40.4,2.64,35.9,2.69
62.7,1.01,53.1,8.29,47.1,5.05,48.3,9.6,46.1,-0.03,59.7,2.9,42.8,0.84,38.3,2.39
65.1,0.28,55.4,8.54,49.5,7.75,50.6,10.24,48.5,0.84,62.1,1.07,45.2,-0.03,40.7,1.33
67.5,0.74,57.8,7.09,51.9,9.93,53,10.24,50.9,2.96,64.4,0.18,47.4,0.01,43.1,0.29
69.9,2.56,60.2,4.87,54.2,10.24,55.4,10.24,53.3,4.92,66.8,0.14,49.8,0.52,45.3,0
72.2,5.02,62.6,3.66,56.7,9.83,57.8,10.24,55.5,5.38,69.2,0.57,52.2,1.9,47.7,0.13
74.6,7.17,64.8,3.8,59,8.23,60.2,10.24,57.9,4.38,71.6,1.93,54.5,3.25,50.1,0.6
